Gene ID	Gene Name	Design Element	D20_C	pU62_B	pU62_C	D20_A	D20_B	pU62_A
ENSG00000108256	NUFIP2	224939_at	10.040084	9.491822	9.447639	9.912987	9.583018	9.422899
ENSG00000108256	NUFIP2	224956_at	8.429703	8.455257	8.50213	8.359129	8.239819	8.395218
ENSG00000108256	NUFIP2	224958_at	8.427869	8.319107	8.27926	8.160035	8.205056	8.172842
ENSG00000108262	GIT1	218030_at	7.363027	7.1345754	7.1491446	7.429977	7.551827	7.174603
ENSG00000108306	FBXL20	226842_at	7.79912	7.3347754	7.3361015	7.765224	7.7094617	7.4037986
ENSG00000108306	FBXL20	232412_at	4.779958	4.1349535	4.0319915	5.065453	4.9127407	4.1694484
ENSG00000108306	FBXL20	235089_at	5.902924	5.338711	5.744865	6.3420997	6.0096517	5.616026
ENSG00000108306	FBXL20	239223_s_at	5.0351458	5.20815	4.8844028	5.5634155	5.337062	5.1000757
ENSG00000108306	FBXL20	239224_at	4.0876436	3.8714511	3.9413538	4.071106	3.8994424	3.8463402
ENSG00000108309	RUNDC3A	206196_s_at	3.6565726	3.7791824	3.9347103	3.7366068	3.7849295	4.1071434
ENSG00000108309	RUNDC3A	213439_x_at	6.2198052	5.903907	5.9681387	6.03911	6.061051	5.852139
ENSG00000108312	UBTF	225982_at	7.0908885	6.9318194	7.0476055	7.0462804	7.21905	6.8999124
ENSG00000108342	CSF3	207442_at	5.894338	6.011505	5.9303365	5.5180416	5.8957953	6.041752
ENSG00000108344	PSMD3	201388_at	8.93389	9.146861	9.075687	9.1079645	9.124519	8.958612
ENSG00000108349	CASC3	207842_s_at	8.671464	8.308109	8.391221	8.523454	8.670984	8.188387
ENSG00000108352	RAPGEFL1	218657_at	5.95827	5.862588	5.710631	5.8897915	5.4543633	5.666697
ENSG00000108370	RGS9	206518_s_at	4.276786	4.0215516	3.8440378	4.154551	4.010047	3.5939147
ENSG00000108375	RNF43	218704_at	7.290132	7.960078	7.9907055	7.4522653	7.756682	7.9430556
ENSG00000108379	WNT3	221455_s_at	4.795433	4.637697	4.466409	4.616587	4.747022	4.701236
ENSG00000108379	WNT3	229103_at	6.147637	4.8515387	5.1656747	6.288408	6.036536	5.2838016
ENSG00000108379	WNT3	231743_at	6.1648784	5.7784867	5.6401286	5.9179254	6.0938087	5.640835
ENSG00000108381	ASPA	206030_at	3.230694	3.359466	3.2771957	3.447904	3.3396976	3.3623307
ENSG00000108381	ASPA	228807_at	3.739888	4.099142	3.8356235	3.8445797	4.087068	3.9745145
ENSG00000108384	RAD51C	206066_s_at	7.771722	7.6552777	7.53069	7.68462	7.8043184	7.447096
ENSG00000108384	RAD51C	209849_s_at	8.39665	8.237185	8.284939	8.511886	8.377538	8.316623
ENSG00000108387	SEPT4	210348_at	4.139429	4.1624246	4.048945	4.0651693	3.9989903	3.8810332
ENSG00000108387	SEPT4	210657_s_at	4.176391	3.4556816	3.48501	3.922654	3.9498596	3.5334065
ENSG00000108387	SEPT4	233006_at	4.6227083	4.563033	4.6772714	4.7326646	4.7152853	4.676278
ENSG00000108389	MTMR4	212277_at	8.436404	8.905642	8.907125	8.452301	8.441537	8.932743
ENSG00000108389	MTMR4	214268_s_at	9.29173	9.314933	9.315327	9.065195	9.15976	9.287123
ENSG00000108395	TRIM37	1554001_at	5.2369447	4.899386	5.1902747	5.319682	5.1265817	5.1471314
ENSG00000108395	TRIM37	213009_s_at	9.9500675	9.184833	9.405485	10.01156	9.72463	9.374684
ENSG00000108405	P2RX1	210401_at	5.5514483	5.6584563	5.850037	5.422725	5.0617237	5.797582
ENSG00000108406	DHX40	218277_s_at	9.308874	8.333439	8.526856	9.357735	9.237082	8.523512
ENSG00000108406	DHX40	222574_s_at	9.522161	8.345165	8.450531	9.421543	9.363438	8.411964
ENSG00000108417	KRT37	207649_at	3.8901372	3.6966896	3.630299	3.659274	4.010664	3.7014413
ENSG00000108423	TUBD1	210389_x_at	8.955359	8.863273	8.97639	9.022325	8.859075	8.9469
ENSG00000108423	TUBD1	221326_s_at	7.452814	7.1740403	7.494008	7.3086305	6.9961386	7.4490404
ENSG00000108423	TUBD1	231853_at	8.430662	8.42488	8.473067	8.51635	8.123478	8.4413805
ENSG00000108424	KPNB1	208974_x_at	11.566593	10.690864	10.629094	11.461546	11.413961	10.696475
ENSG00000108424	KPNB1	208975_s_at	10.399706	10.422725	10.422322	10.437689	10.254541	10.424712
ENSG00000108424	KPNB1	213507_s_at	12.595247	11.987785	12.059084	12.668102	12.584629	12.094197
ENSG00000108424	KPNB1	213573_at	8.800993	7.958483	8.130627	8.987072	8.873908	8.107162
ENSG00000108424	KPNB1	213574_s_at	10.1760235	9.17063	9.0974865	10.241266	10.157085	9.029466
ENSG00000108424	KPNB1	213803_at	8.749451	7.849582	7.7125955	8.940298	8.662153	7.7387943
ENSG00000108433	GOSR2	213144_at	7.4013357	7.561566	7.6414557	7.5594816	7.509733	7.1740403
ENSG00000108433	GOSR2	213180_s_at	7.265726	7.3803906	7.487265	7.3040442	7.328693	7.3208947
ENSG00000108433	GOSR2	235041_at	7.738102	7.7649617	7.9313035	7.9052672	7.7649617	7.8873034
ENSG00000108433	GOSR2	239159_at	4.7164493	4.7602906	5.117278	5.0713882	4.901307	5.223312
ENSG00000108433	GOSR2	243880_at	3.9417584	5.2044115	5.5306277	3.7744253	4.3192844	5.3899736
ENSG00000108439	PNPO	218511_s_at	8.262603	8.349337	8.328278	8.109648	8.303376	8.182115
ENSG00000108439	PNPO	222653_at	8.133883	8.896267	8.77669	8.38565	8.282678	8.60864
ENSG00000108443	RPS6KB1	204171_at	8.226573	8.180054	8.32915	8.576796	8.13177	8.280917
ENSG00000108443	RPS6KB1	226660_at	9.397407	8.925114	9.051815	9.222478	9.105925	8.917542
ENSG00000108465	CDK5RAP3	218740_s_at	10.199543	9.885664	9.816655	10.265528	10.285488	9.715704
ENSG00000108468	CBX1	201518_at	11.599648	10.8480625	10.789061	11.718143	11.680401	10.740809
ENSG00000108469	RECQL5	210309_at	4.124065	4.2028365	4.232321	4.041403	4.362514	4.2226505
ENSG00000108469	RECQL5	211468_s_at	4.67855	4.928967	4.697579	4.806759	4.9162855	4.5646443
ENSG00000108469	RECQL5	221686_s_at	7.4666615	7.7997665	7.716653	7.6562095	7.4750147	7.595186
ENSG00000108469	RECQL5	34063_at	5.9287744	5.950358	5.968625	6.1391892	5.830898	6.026803
ENSG00000108474	PIGL	205873_at	7.5146556	6.9987464	7.1706448	7.6835194	7.74145	7.162877
ENSG00000108474	PIGL	213889_at	6.887664	7.415859	7.429711	6.7312746	6.752065	7.3243537
ENSG00000108474	PIGL	232262_at	5.0966196	4.437731	4.8197145	5.212204	4.616918	4.869824
ENSG00000108474	PIGL	239943_x_at	6.03191	5.687194	5.580467	6.0624976	6.239113	5.444314
ENSG00000108479	GALK1	204374_s_at	6.6280646	7.2537975	6.9795284	6.7009835	6.8580294	6.969123
ENSG00000108506	INTS2	224308_s_at	6.908672	6.3307753	6.593557	6.6262155	6.336635	6.659077
ENSG00000108509	CAMTA2	212948_at	7.333925	6.3153286	6.4506154	7.402832	7.2745023	6.1883855
ENSG00000108510	MED13	201986_at	9.377405	8.996929	9.295261	9.191243	9.031428	9.318856
ENSG00000108510	MED13	201987_at	10.323706	9.907922	9.923302	10.17002	10.087007	9.990251
ENSG00000108510	MED13	223780_s_at	5.7205	5.911546	5.832348	5.520622	5.13919	5.7836757
ENSG00000108510	MED13	244611_at	3.152553	3.150975	3.116954	3.1214228	3.1179588	3.0650744
